작품명,방송일자,시청률,방영연도,월,일,회차,연속방송
결혼작사 이혼작곡 2,2021-06-13,4.744,2021,6,13,2,2
결혼작사 이혼작곡 2,2021-06-19,5.754,2021,6,19,3,2
결혼작사 이혼작곡 2,2021-06-20,6.056,2021,6,20,4,2
결혼작사 이혼작곡 2,2021-06-26,5.7175,2021,6,26,5,2
결혼작사 이혼작곡 2,2021-06-27,6.746,2021,6,27,6,2
결혼작사 이혼작곡 2,2021-07-03,8.344000000000001,2021,7,3,7,2
결혼작사 이혼작곡 2,2021-07-04,9.065,2021,7,4,8,2
결혼작사 이혼작곡 2,2021-07-10,9.9545,2021,7,10,9,2
결혼작사 이혼작곡 2,2021-07-11,10.6055,2021,7,11,10,2
결혼작사 이혼작곡 2,2021-07-17,11.8205,2021,7,17,11,2
결혼작사 이혼작곡 2,2021-07-18,11.613,2021,7,18,12,2
결혼작사 이혼작곡 2,2021-07-24,11.8545,2021,7,24,13,2
결혼작사 이혼작곡 2,2021-08-01,11.362,2021,8,1,14,2
결혼작사 이혼작곡 2,2021-08-07,13.4945,2021,8,7,15,2
결혼작사 이혼작곡 2,2021-08-08,15.187000000000001,2021,8,8,16,2
결혼작사 이혼작곡 3,2022-02-26,5.766500000000001,2022,2,26,1,2
결혼작사 이혼작곡 3,2022-02-27,6.2524999999999995,2022,2,27,2,2
결혼작사 이혼작곡 3,2022-03-05,5.412,2022,3,5,3,2
결혼작사 이혼작곡 3,2022-03-06,6.017,2022,3,6,4,2
결혼작사 이혼작곡 3,2022-03-12,6.0695,2022,3,12,5,2
결혼작사 이혼작곡 3,2022-03-13,6.702999999999999,2022,3,13,6,2
결혼작사 이혼작곡 3,2022-03-19,6.4735000000000005,2022,3,19,7,2
결혼작사 이혼작곡 3,2022-03-20,7.0215,2022,3,20,8,2
결혼작사 이혼작곡 3,2022-03-26,7.3420000000000005,2022,3,26,9,2
결혼작사 이혼작곡 3,2022-04-02,6.465999999999999,2022,4,2,10,2
결혼작사 이혼작곡 3,2022-04-09,8.1145,2022,4,9,11,2
결혼작사 이혼작곡 3,2022-04-16,7.7695,2022,4,16,12,2
결혼작사 이혼작곡 3,2022-04-23,8.225,2022,4,23,13,2
결혼작사 이혼작곡 3,2022-04-24,6.8885000000000005,2022,4,24,14,2
결혼작사 이혼작곡 3,2022-04-30,8.2735,2022,4,30,15,2
결혼작사 이혼작곡 3,2022-05-01,9.771,2022,5,1,16,2
경우의 수,2020-09-25,1.51,2020,9,25,1,1
경우의 수,2020-09-26,1.438,2020,9,26,2,1
경우의 수,2020-10-09,1.612,2020,10,9,3,1
경우의 수,2020-10-10,1.611,2020,10,10,4,1
경우의 수,2020-10-16,1.336,2020,10,16,5,1
경우의 수,2020-10-17,1.572,2020,10,17,6,1
경우의 수,2020-10-23,1.318,2020,10,23,7,1
경우의 수,2020-10-24,1.131,2020,10,24,8,1
경우의 수,2020-10-30,1.442,2020,10,30,9,1
경우의 수,2020-10-31,1.529,2020,10,31,10,1
경우의 수,2020-11-06,1.499,2020,11,6,11,1
경우의 수,2020-11-07,1.412,2020,11,7,12,1
경우의 수,2020-11-13,1.448,2020,11,13,13,1
경우의 수,2020-11-14,1.311,2020,11,14,14,1
경우의 수,2020-11-27,1.324,2020,11,27,15,1
경우의 수,2020-11-28,1.26,2020,11,28,16,1
경이로운 소문,2020-11-28,2.702,2020,11,28,1,1
